dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
TRANQPIT1,5.0,887,608,-4408276.000001299,265220.00000007893,91.86956787109375,0.22924382984638214,21.060531616210938
TRANQPIT1,5.0,882,609,-4408272.000001299,265240.00000007893,85.12408447265625,0.24368146061897278,20.743162155151367
TRANQPIT1,5.0,870,613,-4408256.000001299,265288.00000007893,74.3394775390625,0.25065094232559204,18.63326072692871
TRANQPIT1,5.0,912,615,-4408248.000001299,265120.0000000789,89.9351806640625,0.20399095118045807,18.345962524414062
TRANQPIT1,5.0,895,585,-4408368.000001299,265188.00000007893,79.8277587890625,0.18968971073627472,15.142504692077637
TRANQPIT1,5.0,914,590,-4408348.000001299,265112.0000000789,83.58282470703125,0.1120661273598671,9.366803169250488
TRANQPIT1,5.0,2028,740,-4407748.000001299,260656.00000007753,37.5601806640625,0.12367963045835495,4.6454291343688965
TRANQPIT1,5.0,3480,419,-4409032.000001299,254848.0000000758,35.72235107421875,0.11214908212423325,4.006228923797607
TRANQPIT1,5.0,5034,147,-4410120.0000013,248632.00000007392,28.06243896484375,0.14210295677185059,3.987755537033081
TRANQPIT1,5.0,2038,771,-4407624.000001299,260616.00000007753,38.0443115234375,0.09917116910219193,3.7728989124298096
TRANQPIT1,5.0,3998,816,-4407444.000001299,252776.00000007518,127.47332763671875,0.029174890369176865,3.719020366668701
TRANQPIT1,5.0,3863,925,-4407008.000001299,253316.00000007535,27.9130859375,0.13045047223567963,3.64127516746521
TRANQPIT1,5.0,4714,504,-4408692.000001299,249912.00000007433,51.074462890625,0.06887687742710114,3.5178494453430176
TRANQPIT1,5.0,4691,532,-4408580.000001299,250004.00000007436,62.9879150390625,0.055788855999708176,3.514023780822754
TRANQPIT1,5.0,6872,867,-4407240.000001299,241280.00000007174,54.77655029296875,0.05528322234749794,3.028224229812622
TRANQPIT1,5.0,3685,205,-4409888.0000013,254028.00000007555,29.69464111328125,0.09942761063575745,2.952467203140259
TRANQPIT1,5.0,3500,448,-4408916.000001299,254768.0000000758,35.31640625,0.08235577493906021,2.9085099697113037
TRANQPIT1,5.0,1905,406,-4409084.000001299,261148.00000007768,36.230224609375,0.07812546193599701,2.830502986907959
TRANQPIT1,5.0,4684,488,-4408756.000001299,250032.00000007436,42.488525390625,0.060381922870874405,2.5655388832092285
TRANQPIT1,5.0,2009,766,-4407644.000001299,260732.00000007756,32.3973388671875,0.07803335785865784,2.5280730724334717
TRANQPIT1,5.0,4675,509,-4408672.000001299,250068.00000007436,55.26171875,0.04496774822473526,2.484995126724243
TRANQPIT1,5.0,4671,510,-4408668.000001299,250084.00000007436,52.0679931640625,0.04770893603563309,2.4841084480285645
TRANQPIT1,5.0,4664,508,-4408676.000001299,250112.0000000744,44.358154296875,0.05575180798768997,2.4730472564697266
TRANQPIT1,5.0,3678,175,-4410008.0000013,254056.00000007555,28.5048828125,0.08339414745569229,2.3771402835845947
TRANQPIT1,5.0,3525,422,-4409020.000001299,254668.00000007576,32.80413818359375,0.07041323930025101,2.3098456859588623
TRANQPIT1,5.0,7112,603,-4408296.000001299,240320.00000007145,21.99310302734375,0.10350020229816437,2.2762906551361084
TRANQPIT1,5.0,3512,420,-4409028.000001299,254720.00000007576,42.66644287109375,0.052619922906160355,2.245105028152466
TRANQPIT1,5.0,3512,402,-4409100.000001299,254720.00000007576,30.71728515625,0.07131501287221909,2.190603494644165
TRANQPIT1,5.0,3708,176,-4410004.0000013,253936.00000007552,30.1353759765625,0.07181747257709503,2.1642465591430664
