site,product_id,incidence_deg,emission_deg,resolution_m,acquisition_time,size_bytes,sha256,local_path,pds_url
INGENIIPIT,M1451569797LE,68.58,32.90,1.3688,(DOY:283) 2023-10-10T09:35:30,264467400,329298b995d6e616329b3c058cd909254000eece4954342ade7e0b79342ee8f4,/home/frostflux/lunarvoid/data/edr/multillum/INGENIIPIT/M1451569797LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0057A/DATA/ESM5/2023283/NAC/M1451569797LE.IMG
INGENIIPIT,M1171949099LE,84.78,30.73,1.7650,(DOY:334) 2014-11-30T01:10:32,132236232,2b25aad55a67eb88431f426e4da862ad7ebc11c79a7e99990d5b9df81a755fb9,/home/frostflux/lunarvoid/data/edr/multillum/INGENIIPIT/M1171949099LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014334/NAC/M1171949099LE.IMG
MARIUSPIT01,M1502268466LE,27.00,1.73,0.9603,(DOY:139) 2025-05-19T04:33:19,197055432,fd1c98d0c77b1d052e5dabe1256bba59dbd353d3a8982a21d5708724275aff96,/home/frostflux/lunarvoid/data/edr/multillum/MARIUSPIT01/M1502268466LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0063C/DATA/ESM5/2025139/NAC/M1502268466LE.IMG
MARIUSPIT01,M1528018062LE,57.67,12.43,0.8238,(DOY:072) 2026-03-13T05:13:15,264467400,585b9fdb676108e3e56db5815a120804496a256bcbcd2cda79f76c7ac649371f,/home/frostflux/lunarvoid/data/edr/multillum/MARIUSPIT01/M1528018062LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0066C/DATA/ESM6/2026072/NAC/M1528018062LE.IMG
MARIUSPIT01,M1169892248LE,70.31,0.99,1.0987,(DOY:310) 2014-11-06T05:49:40,264467400,d7f2959f75e16b834a2b4e64cf4170cf3187c35a155a8d30ceba438fc02b8be4,/home/frostflux/lunarvoid/data/edr/multillum/MARIUSPIT01/M1169892248LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014310/NAC/M1169892248LE.IMG
MARIUSPIT01,M1336885005LE,89.30,1.73,0.9167,(DOY:052) 2020-02-21T00:42:18,264467400,718358995c6167d9a80876fb86b05b7705aa0574b9824588d91c4a2d8b45bde9,/home/frostflux/lunarvoid/data/edr/multillum/MARIUSPIT01/M1336885005LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0042C/DATA/ESM4/2020052/NAC/M1336885005LE.IMG
PRCLRMPIT01,M1269844469LE,34.66,1.75,1.0540,(DOY:006) 2018-01-06T02:20:02,264467400,ce4e10f7594cefb1672f1460a8f55e812a875cd48e7c6739ae86d815fb620897,/home/frostflux/lunarvoid/data/edr/multillum/PRCLRMPIT01/M1269844469LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0034/DATA/ESM3/2018006/NAC/M1269844469LE.IMG
PRCLRMPIT01,M1450672896LE,51.54,1.73,0.9172,(DOY:273) 2023-09-30T00:27:08,264467400,d05f0427b4c0d334dffc1b8f85b85a86134b5d340d2de8a50ad6a1c6ec439502,/home/frostflux/lunarvoid/data/edr/multillum/PRCLRMPIT01/M1450672896LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0057A/DATA/ESM5/2023273/NAC/M1450672896LE.IMG
PRCLRMPIT01,M1354457618LE,67.03,1.74,1.0755,(DOY:255) 2020-09-11T09:59:11,264467400,9bcc03e7be53d6f25471ca2d224fcc4dc4a21b730afe582ec23ac18ed3c0d83f,/home/frostflux/lunarvoid/data/edr/multillum/PRCLRMPIT01/M1354457618LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0044C/DATA/ESM4/2020255/NAC/M1354457618LE.IMG
PRCLRMPIT01,M1232211200LE,92.78,1.76,1.2616,(DOY:301) 2016-10-27T12:38:53,72602568,7104cc6632611cb8f64c8369379f5088f3f6bdb401fb2f5dcf4b84c50db011b3,/home/frostflux/lunarvoid/data/edr/multillum/PRCLRMPIT01/M1232211200LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0029/DATA/ESM3/2016301/NAC/M1232211200LE.IMG
SWFECUNPIT1,M1534363631LE,28.55,14.75,0.7183,(DOY:145) 2026-05-25T15:52:43,264467400,37518a1871b6cfeefbc0b1d9c435746bf64b97832e4c26d254892ad7835b3ed4,/home/frostflux/lunarvoid/data/edr/multillum/SWFECUNPIT1/M1534363631LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0067C/DATA/ESM6/2026145/NAC/M1534363631LE.IMG
SWFECUNPIT1,M1465311346LE,51.51,1.73,0.9097,(DOY:077) 2024-03-17T10:41:19,264467400,119246a3ea422af71d6d275439a80d300e95b642ff2e784adf10d85f6174f74c,/home/frostflux/lunarvoid/data/edr/multillum/SWFECUNPIT1/M1465311346LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0059A/DATA/ESM5/2024077/NAC/M1465311346LE.IMG
SWFECUNPIT1,M1409031996LE,71.14,1.73,1.8650,(DOY:156) 2022-06-05T01:32:09,132236232,43fee02605736b351901efd8da0538bf74f1f083997ca11133192edb9e4c55bb,/home/frostflux/lunarvoid/data/edr/multillum/SWFECUNPIT1/M1409031996LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0051C/DATA/ESM4/2022156/NAC/M1409031996LE.IMG
SWFECUNPIT1,M1510967315LE,86.01,1.73,1.6669,(DOY:239) 2025-08-27T20:54:07,132236232,12a4a2e2a6582f49114eb394e542d2d52a0844f430622a25fda8f49e49403515,/home/frostflux/lunarvoid/data/edr/multillum/SWFECUNPIT1/M1510967315LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0064C/DATA/ESM5/2025239/NAC/M1510967315LE.IMG
