pit_site,lon,lat,terrain,lroc_dtm_product_id,lroc_dtm_url,lroc_dtm_lbl_url,estimated_size_mb,pit_in_catalog,priority_in_registry,resolution_m,coverage_km2,quality,relat_le_m,triang_rms_m
King 14,119.7635,6.2784,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 15a,119.7847,6.4782,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 15b,119.7853,6.4781,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 1a,119.7341,6.2408,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 1b,119.7351,6.2402,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 23,119.9019,6.3794,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 26,119.82,6.6385,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 27,119.8719,6.5044,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 28,119.8593,6.3016,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 29,119.8145,6.4827,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 32,119.8067,6.3231,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 35,119.7252,6.4417,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 36,119.7664,6.214,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 3a,119.8108,6.4082,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 3b,119.8105,6.4081,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 41,119.8299,6.6376,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 4a,119.7815,6.2066,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 4b,119.7804,6.2061,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 5,119.8005,6.3371,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 7,119.7378,6.467,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 8a,119.8329,6.4369,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 8b,119.8335,6.4365,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 8c,119.8331,6.4412,Impact Melt,KINGCRATER3,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER3/NAC_DTM_KINGCRATER3.LBL,205.9,True,False,2.0,188.88,good,1.45,0.559
King 12,119.7506,6.2487,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 13a,119.7626,6.2538,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 13b,119.7615,6.2551,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 14,119.7635,6.2784,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 1a,119.7341,6.2408,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 1b,119.7351,6.2402,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 33,119.6998,6.4873,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 35,119.7252,6.4417,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 36,119.7664,6.214,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 6,119.7247,6.2776,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
King 7,119.7378,6.467,Impact Melt,KINGCRATER4,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER4/NAC_DTM_KINGCRATER4.LBL,213.4,True,False,2.0,195.82,good,1.43,0.559
Marius Hills Pit,-56.7701,14.0917,Mare,MARIUSCONE,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/MARIUSCONE/NAC_DTM_MARIUSCONE.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/MARIUSCONE/NAC_DTM_MARIUSCONE.LBL,284.2,True,False,4.0,811.89,good,3.43,0.321
Tycho 13,-11.7311,-43.1399,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 14,-10.9282,-43.1467,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 17a,-11.7578,-43.0855,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 17b,-11.7573,-43.0794,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 29a,-11.4576,-42.8468,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 29b,-11.4585,-42.8473,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 29c,-11.4595,-42.8478,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 5a,-11.3668,-42.6199,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 5b,-11.3637,-42.6179,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 5c,-11.3583,-42.6152,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 5d,-11.3517,-42.612,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 5e,-11.3628,-42.6218,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 7,-11.4653,-42.8468,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 8,-11.2259,-42.7882,Impact Melt,TYCHOPK,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK/NAC_DTM_TYCHOPK.LBL,1093.3,True,False,2.0,1003.0,good,2.38,0.535
Tycho 13,-11.7311,-43.1399,Impact Melt,TYCHOPK02,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.LBL,206.3,True,False,2.0,189.3,good,1.71,0.268
Tycho 17a,-11.7578,-43.0855,Impact Melt,TYCHOPK02,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.LBL,206.3,True,False,2.0,189.3,good,1.71,0.268
Tycho 17b,-11.7573,-43.0794,Impact Melt,TYCHOPK02,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK02/NAC_DTM_TYCHOPK02.LBL,206.3,True,False,2.0,189.3,good,1.71,0.268
Tycho 29a,-11.4576,-42.8468,Impact Melt,TYCHOPK03,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.LBL,155.0,True,False,2.0,142.17,good,1.39,0.268
Tycho 29b,-11.4585,-42.8473,Impact Melt,TYCHOPK03,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.LBL,155.0,True,False,2.0,142.17,good,1.39,0.268
Tycho 29c,-11.4595,-42.8478,Impact Melt,TYCHOPK03,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.LBL,155.0,True,False,2.0,142.17,good,1.39,0.268
Tycho 5a,-11.3668,-42.6199,Impact Melt,TYCHOPK03,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TYCHOPK03/NAC_DTM_TYCHOPK03.LBL,155.0,True,False,2.0,142.17,good,1.39,0.268
