pit_site,lon,lat,terrain,lroc_dtm_product_id,lroc_dtm_url,lroc_dtm_lbl_url,estimated_size_mb,pit_in_catalog,priority_in_registry,resolution_m,coverage_km2,quality,relat_le_m,triang_rms_m
King 11b,120.0023,6.4604,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 16,119.9304,6.3643,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 17,119.9847,6.6252,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 18,119.9894,6.6235,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 19,119.9861,6.5931,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20a,119.9269,6.5098,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20b,119.9289,6.5108,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20c,119.9269,6.513,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20d,119.9266,6.5142,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20e,119.9298,6.5149,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
